userid,avg_retweetcount,followers,label
132131,85,2353,1
696168,54,2242,1
704441,26,8438,1
570928,41,3792,1
107312,64,1442,1
117640,67,6523,1
576805,57,8694,1
758550,29,5986,1
946597,64,6947,1
595841,39,8305,1
463487,26,653,1
631945,86,5131,1
926923,55,5278,1
127337,56,3347,1
432390,49,7600,1
131479,7,706,1
811404,75,7313,1
138974,39,337,1
238448,85,4057,1
387922,63,2804,1
150095,75,3544,1
725104,66,2852,1
460341,72,8386,1
180001,24,4096,1
635556,77,7967,1
744296,44,1910,1
552441,28,1723,1
608641,3,5049,1
835839,86,1385,1
107084,71,1639,1
303633,89,2309,1
469564,59,1918,1
786663,6,4710,1
445071,71,4182,1
162555,71,2230,1
596289,99,225,1
713064,86,9114,1
446708,58,7723,1
123595,34,3898,1
604212,37,5368,1
868723,4,9940,1
654767,57,7005,1
655941,8,7889,1
823120,74,5051,1
433484,62,7586,1
393090,58,3745,1
488569,90,987,1
664797,20,4248,1
209150,56,6272,1
261949,98,3267,1
175102,92,5758,1
489080,52,9599,1
375266,83,977,1
911306,8,9401,1
958231,39,842,1
290093,86,8708,1
186382,91,400,1
705093,30,766,1
105179,3,9348,1
868659,56,7622,1
121978,9,8542,1
633215,34,8483,1
271872,39,4814,1
433950,92,5995,1
593803,91,9921,1
443899,19,1966,1
587424,20,8483,1
187246,87,1918,1
763466,73,4440,1
995441,51,823,1
320912,11,2197,1
219810,92,4189,1
227157,6,9362,1
565871,14,8902,1
759323,76,7346,1
891728,72,3183,1
266330,35,9422,1
292191,89,1800,1
620605,2,9113,1
400856,18,9649,1
251579,73,8997,1
992703,86,8550,1
210091,70,6598,1
866255,92,6811,1
474538,57,7495,1
625709,39,2415,1
414075,55,3614,1
528303,16,6963,1
893920,9,8380,1
461665,25,5069,1
176832,43,8483,1
847924,77,8561,1
874451,78,4405,1
226267,55,5768,1
903576,5,7430,1
598627,4,1564,1
681701,93,8105,1
982892,59,7846,1
577040,51,2476,1
764693,48,3200,1
803114,36,5375,1
580678,65,2631,1
479464,72,1423,1
507394,73,6635,1
980557,28,2902,1
104697,99,7208,1
992934,98,8423,1
557867,62,2421,1
942666,31,8085,1
627300,79,7284,1
403580,19,5686,1
392905,42,7815,1
913252,50,1762,1
113232,49,4905,1
544513,81,5477,1
783572,62,9421,1
123290,85,8955,1
805444,88,3565,1
571592,79,990,1
818189,27,5343,1
333908,18,4711,1
666121,31,7164,1
896227,6,5996,1
881150,12,9606,1
780554,71,9954,1
138700,16,4451,1
448377,66,7025,1
508187,90,3417,1
241479,29,8448,1
128235,98,8151,1
399371,99,6228,1
749330,75,7407,1
646528,1,6811,1
142955,62,1373,1
829799,38,9861,1
564216,49,1947,1
118226,94,1698,1
962871,76,2773,1
252252,14,6242,1
857074,97,7321,1
348345,67,5981,1
467653,11,3231,1
556050,55,1518,1
762922,16,1876,1
192294,40,741,1
740350,81,4954,1
377115,53,2408,1
876385,62,2828,1
130270,19,5657,1
102576,77,7446,1
558741,18,5399,1
380229,45,7682,1
864096,97,4879,1
768628,64,2202,1
442723,46,1534,1
315730,64,4050,1
931911,86,4797,1
505940,56,1428,1
689413,45,426,1
408341,44,9728,1
141492,79,3896,1
443956,7,380,1
968438,2,1829,1
237720,34,1906,1
579966,11,5587,1
168028,84,1816,1
700283,23,8777,1
579731,45,9287,1
921731,82,9453,1
589209,2,1407,1
457809,58,6097,1
715999,85,6812,1
636309,4,5258,1
787769,0,7872,1
131809,54,4786,1
205329,59,4180,1
660327,24,7010,1
171310,30,3748,1
333651,35,7016,1
861157,59,8800,1
966410,53,6152,1
701255,15,326,1
330446,72,2386,1
835118,21,3984,1
654954,57,3689,1
505231,87,1889,1
819837,79,2912,1
816359,81,4322,1
688056,60,3262,1
376277,63,4634,1
640137,62,4926,1
834620,75,8511,1
864009,79,5083,1
674578,55,4605,1
625456,35,464,1
566574,6,5993,1
163413,22,4647,1
864561,100,6876,1
882415,61,1430,1
