userid,totaltweets,following,followers,followers_following_ratio,avg_retweetcount,avg_words_per_tweet,daily_tweet_count,unique_language_count,Max_tweets_in_1hr,label
132131,0,0,2353,0,85,0,0,0,0,1
696168,0,0,2242,0,54,0,0,0,0,1
704441,0,0,8438,0,26,0,0,0,0,1
570928,0,0,3792,0,41,0,0,0,0,1
107312,0,0,1442,0,64,0,0,0,0,1
117640,0,0,6523,0,67,0,0,0,0,1
576805,0,0,8694,0,57,0,0,0,0,1
758550,0,0,5986,0,29,0,0,0,0,1
946597,0,0,6947,0,64,0,0,0,0,1
595841,0,0,8305,0,39,0,0,0,0,1
463487,0,0,653,0,26,0,0,0,0,1
631945,0,0,5131,0,86,0,0,0,0,1
926923,0,0,5278,0,55,0,0,0,0,1
127337,0,0,3347,0,56,0,0,0,0,1
432390,0,0,7600,0,49,0,0,0,0,1
131479,0,0,706,0,7,0,0,0,0,1
811404,0,0,7313,0,75,0,0,0,0,1
138974,0,0,337,0,39,0,0,0,0,1
238448,0,0,4057,0,85,0,0,0,0,1
387922,0,0,2804,0,63,0,0,0,0,1
150095,0,0,3544,0,75,0,0,0,0,1
725104,0,0,2852,0,66,0,0,0,0,1
460341,0,0,8386,0,72,0,0,0,0,1
180001,0,0,4096,0,24,0,0,0,0,1
635556,0,0,7967,0,77,0,0,0,0,1
744296,0,0,1910,0,44,0,0,0,0,1
552441,0,0,1723,0,28,0,0,0,0,1
608641,0,0,5049,0,3,0,0,0,0,1
835839,0,0,1385,0,86,0,0,0,0,1
107084,0,0,1639,0,71,0,0,0,0,1
303633,0,0,2309,0,89,0,0,0,0,1
469564,0,0,1918,0,59,0,0,0,0,1
786663,0,0,4710,0,6,0,0,0,0,1
445071,0,0,4182,0,71,0,0,0,0,1
162555,0,0,2230,0,71,0,0,0,0,1
596289,0,0,225,0,99,0,0,0,0,1
713064,0,0,9114,0,86,0,0,0,0,1
446708,0,0,7723,0,58,0,0,0,0,1
123595,0,0,3898,0,34,0,0,0,0,1
604212,0,0,5368,0,37,0,0,0,0,1
868723,0,0,9940,0,4,0,0,0,0,1
654767,0,0,7005,0,57,0,0,0,0,1
655941,0,0,7889,0,8,0,0,0,0,1
823120,0,0,5051,0,74,0,0,0,0,1
433484,0,0,7586,0,62,0,0,0,0,1
393090,0,0,3745,0,58,0,0,0,0,1
488569,0,0,987,0,90,0,0,0,0,1
664797,0,0,4248,0,20,0,0,0,0,1
209150,0,0,6272,0,56,0,0,0,0,1
261949,0,0,3267,0,98,0,0,0,0,1
175102,0,0,5758,0,92,0,0,0,0,1
489080,0,0,9599,0,52,0,0,0,0,1
375266,0,0,977,0,83,0,0,0,0,1
911306,0,0,9401,0,8,0,0,0,0,1
958231,0,0,842,0,39,0,0,0,0,1
290093,0,0,8708,0,86,0,0,0,0,1
186382,0,0,400,0,91,0,0,0,0,1
705093,0,0,766,0,30,0,0,0,0,1
105179,0,0,9348,0,3,0,0,0,0,1
868659,0,0,7622,0,56,0,0,0,0,1
121978,0,0,8542,0,9,0,0,0,0,1
633215,0,0,8483,0,34,0,0,0,0,1
271872,0,0,4814,0,39,0,0,0,0,1
433950,0,0,5995,0,92,0,0,0,0,1
593803,0,0,9921,0,91,0,0,0,0,1
443899,0,0,1966,0,19,0,0,0,0,1
587424,0,0,8483,0,20,0,0,0,0,1
187246,0,0,1918,0,87,0,0,0,0,1
763466,0,0,4440,0,73,0,0,0,0,1
995441,0,0,823,0,51,0,0,0,0,1
320912,0,0,2197,0,11,0,0,0,0,1
219810,0,0,4189,0,92,0,0,0,0,1
227157,0,0,9362,0,6,0,0,0,0,1
565871,0,0,8902,0,14,0,0,0,0,1
759323,0,0,7346,0,76,0,0,0,0,1
891728,0,0,3183,0,72,0,0,0,0,1
266330,0,0,9422,0,35,0,0,0,0,1
292191,0,0,1800,0,89,0,0,0,0,1
620605,0,0,9113,0,2,0,0,0,0,1
400856,0,0,9649,0,18,0,0,0,0,1
251579,0,0,8997,0,73,0,0,0,0,1
992703,0,0,8550,0,86,0,0,0,0,1
210091,0,0,6598,0,70,0,0,0,0,1
866255,0,0,6811,0,92,0,0,0,0,1
474538,0,0,7495,0,57,0,0,0,0,1
625709,0,0,2415,0,39,0,0,0,0,1
414075,0,0,3614,0,55,0,0,0,0,1
528303,0,0,6963,0,16,0,0,0,0,1
893920,0,0,8380,0,9,0,0,0,0,1
461665,0,0,5069,0,25,0,0,0,0,1
176832,0,0,8483,0,43,0,0,0,0,1
847924,0,0,8561,0,77,0,0,0,0,1
874451,0,0,4405,0,78,0,0,0,0,1
226267,0,0,5768,0,55,0,0,0,0,1
903576,0,0,7430,0,5,0,0,0,0,1
598627,0,0,1564,0,4,0,0,0,0,1
681701,0,0,8105,0,93,0,0,0,0,1
982892,0,0,7846,0,59,0,0,0,0,1
577040,0,0,2476,0,51,0,0,0,0,1
764693,0,0,3200,0,48,0,0,0,0,1
803114,0,0,5375,0,36,0,0,0,0,1
580678,0,0,2631,0,65,0,0,0,0,1
479464,0,0,1423,0,72,0,0,0,0,1
507394,0,0,6635,0,73,0,0,0,0,1
980557,0,0,2902,0,28,0,0,0,0,1
104697,0,0,7208,0,99,0,0,0,0,1
992934,0,0,8423,0,98,0,0,0,0,1
557867,0,0,2421,0,62,0,0,0,0,1
942666,0,0,8085,0,31,0,0,0,0,1
627300,0,0,7284,0,79,0,0,0,0,1
403580,0,0,5686,0,19,0,0,0,0,1
392905,0,0,7815,0,42,0,0,0,0,1
913252,0,0,1762,0,50,0,0,0,0,1
113232,0,0,4905,0,49,0,0,0,0,1
544513,0,0,5477,0,81,0,0,0,0,1
783572,0,0,9421,0,62,0,0,0,0,1
123290,0,0,8955,0,85,0,0,0,0,1
805444,0,0,3565,0,88,0,0,0,0,1
571592,0,0,990,0,79,0,0,0,0,1
818189,0,0,5343,0,27,0,0,0,0,1
333908,0,0,4711,0,18,0,0,0,0,1
666121,0,0,7164,0,31,0,0,0,0,1
896227,0,0,5996,0,6,0,0,0,0,1
881150,0,0,9606,0,12,0,0,0,0,1
780554,0,0,9954,0,71,0,0,0,0,1
138700,0,0,4451,0,16,0,0,0,0,1
448377,0,0,7025,0,66,0,0,0,0,1
508187,0,0,3417,0,90,0,0,0,0,1
241479,0,0,8448,0,29,0,0,0,0,1
128235,0,0,8151,0,98,0,0,0,0,1
399371,0,0,6228,0,99,0,0,0,0,1
749330,0,0,7407,0,75,0,0,0,0,1
646528,0,0,6811,0,1,0,0,0,0,1
142955,0,0,1373,0,62,0,0,0,0,1
829799,0,0,9861,0,38,0,0,0,0,1
564216,0,0,1947,0,49,0,0,0,0,1
118226,0,0,1698,0,94,0,0,0,0,1
962871,0,0,2773,0,76,0,0,0,0,1
252252,0,0,6242,0,14,0,0,0,0,1
857074,0,0,7321,0,97,0,0,0,0,1
348345,0,0,5981,0,67,0,0,0,0,1
467653,0,0,3231,0,11,0,0,0,0,1
556050,0,0,1518,0,55,0,0,0,0,1
762922,0,0,1876,0,16,0,0,0,0,1
192294,0,0,741,0,40,0,0,0,0,1
740350,0,0,4954,0,81,0,0,0,0,1
377115,0,0,2408,0,53,0,0,0,0,1
876385,0,0,2828,0,62,0,0,0,0,1
130270,0,0,5657,0,19,0,0,0,0,1
102576,0,0,7446,0,77,0,0,0,0,1
558741,0,0,5399,0,18,0,0,0,0,1
380229,0,0,7682,0,45,0,0,0,0,1
864096,0,0,4879,0,97,0,0,0,0,1
768628,0,0,2202,0,64,0,0,0,0,1
442723,0,0,1534,0,46,0,0,0,0,1
315730,0,0,4050,0,64,0,0,0,0,1
931911,0,0,4797,0,86,0,0,0,0,1
505940,0,0,1428,0,56,0,0,0,0,1
689413,0,0,426,0,45,0,0,0,0,1
408341,0,0,9728,0,44,0,0,0,0,1
141492,0,0,3896,0,79,0,0,0,0,1
443956,0,0,380,0,7,0,0,0,0,1
968438,0,0,1829,0,2,0,0,0,0,1
237720,0,0,1906,0,34,0,0,0,0,1
579966,0,0,5587,0,11,0,0,0,0,1
168028,0,0,1816,0,84,0,0,0,0,1
700283,0,0,8777,0,23,0,0,0,0,1
579731,0,0,9287,0,45,0,0,0,0,1
921731,0,0,9453,0,82,0,0,0,0,1
589209,0,0,1407,0,2,0,0,0,0,1
457809,0,0,6097,0,58,0,0,0,0,1
715999,0,0,6812,0,85,0,0,0,0,1
636309,0,0,5258,0,4,0,0,0,0,1
787769,0,0,7872,0,0,0,0,0,0,1
131809,0,0,4786,0,54,0,0,0,0,1
205329,0,0,4180,0,59,0,0,0,0,1
660327,0,0,7010,0,24,0,0,0,0,1
171310,0,0,3748,0,30,0,0,0,0,1
333651,0,0,7016,0,35,0,0,0,0,1
861157,0,0,8800,0,59,0,0,0,0,1
966410,0,0,6152,0,53,0,0,0,0,1
701255,0,0,326,0,15,0,0,0,0,1
330446,0,0,2386,0,72,0,0,0,0,1
835118,0,0,3984,0,21,0,0,0,0,1
654954,0,0,3689,0,57,0,0,0,0,1
505231,0,0,1889,0,87,0,0,0,0,1
819837,0,0,2912,0,79,0,0,0,0,1
816359,0,0,4322,0,81,0,0,0,0,1
688056,0,0,3262,0,60,0,0,0,0,1
376277,0,0,4634,0,63,0,0,0,0,1
640137,0,0,4926,0,62,0,0,0,0,1
834620,0,0,8511,0,75,0,0,0,0,1
864009,0,0,5083,0,79,0,0,0,0,1
674578,0,0,4605,0,55,0,0,0,0,1
625456,0,0,464,0,35,0,0,0,0,1
566574,0,0,5993,0,6,0,0,0,0,1
163413,0,0,4647,0,22,0,0,0,0,1
864561,0,0,6876,0,100,0,0,0,0,1
882415,0,0,1430,0,61,0,0,0,0,1
188885,0,0,584,0,44,0,0,0,0,1
613988,0,0,415,0,57,0,0,0,0,1
461236,0,0,8651,0,73,0,0,0,0,1
181086,0,0,1901,0,57,0,0,0,0,1
370377,0,0,7736,0,10,0,0,0,0,1
721228,0,0,1105,0,26,0,0,0,0,1
822139,0,0,7108,0,33,0,0,0,0,1
914910,0,0,920,0,82,0,0,0,0,1
862683,0,0,9346,0,84,0,0,0,0,1
196082,0,0,1531,0,24,0,0,0,0,1
232586,0,0,1584,0,80,0,0,0,0,1
444735,0,0,8973,0,85,0,0,0,0,1
258691,0,0,6983,0,27,0,0,0,0,1
615496,0,0,2534,0,28,0,0,0,0,1
431694,0,0,758,0,23,0,0,0,0,1
795761,0,0,5255,0,81,0,0,0,0,1
499577,0,0,3315,0,71,0,0,0,0,1
922150,0,0,5652,0,49,0,0,0,0,1
771303,0,0,3523,0,17,0,0,0,0,1
669216,0,0,1170,0,89,0,0,0,0,1
655211,0,0,5806,0,77,0,0,0,0,1
519195,0,0,4684,0,18,0,0,0,0,1
116788,0,0,562,0,8,0,0,0,0,1
729200,0,0,506,0,6,0,0,0,0,1
228393,0,0,5879,0,45,0,0,0,0,1
746001,0,0,9388,0,56,0,0,0,0,1
490242,0,0,4669,0,15,0,0,0,0,1
668918,0,0,2689,0,63,0,0,0,0,1
376082,0,0,4355,0,3,0,0,0,0,1
549583,0,0,4682,0,14,0,0,0,0,1
905648,0,0,7720,0,65,0,0,0,0,1
312544,0,0,4047,0,28,0,0,0,0,1
671171,0,0,6352,0,49,0,0,0,0,1
724354,0,0,5587,0,3,0,0,0,0,1
334925,0,0,9654,0,53,0,0,0,0,1
220745,0,0,9735,0,42,0,0,0,0,1
191464,0,0,9382,0,3,0,0,0,0,1
735094,0,0,7493,0,83,0,0,0,0,1
186741,0,0,4525,0,71,0,0,0,0,1
872064,0,0,9853,0,57,0,0,0,0,1
540635,0,0,382,0,25,0,0,0,0,1
700820,0,0,4165,0,93,0,0,0,0,1
592470,0,0,6942,0,47,0,0,0,0,1
101369,0,0,3998,0,41,0,0,0,0,1
710673,0,0,6974,0,95,0,0,0,0,1
806388,0,0,7319,0,28,0,0,0,0,1
838218,0,0,5680,0,33,0,0,0,0,1
410521,0,0,8763,0,14,0,0,0,0,1
446196,0,0,5433,0,11,0,0,0,0,1
901261,0,0,3505,0,44,0,0,0,0,1
509985,0,0,7906,0,64,0,0,0,0,1
135797,0,0,8044,0,17,0,0,0,0,1
838556,0,0,7151,0,31,0,0,0,0,1
779216,0,0,8467,0,77,0,0,0,0,1
671950,0,0,4363,0,20,0,0,0,0,1
912121,0,0,1377,0,92,0,0,0,0,1
711180,0,0,1285,0,100,0,0,0,0,1
465001,0,0,4669,0,40,0,0,0,0,1
371918,0,0,5620,0,31,0,0,0,0,1
860963,0,0,7194,0,42,0,0,0,0,1
881276,0,0,5083,0,33,0,0,0,0,1
147182,0,0,8304,0,67,0,0,0,0,1
654943,0,0,8134,0,23,0,0,0,0,1
698447,0,0,1846,0,76,0,0,0,0,1
699161,0,0,1012,0,11,0,0,0,0,1
559951,0,0,2549,0,95,0,0,0,0,1
671695,0,0,8772,0,12,0,0,0,0,1
